author_id,created_at,geo,id,text,withheld,Sentiment,Label,City,Country,Region
1.434668315646075e+18,2021-12-01 23:58:44+00:00,,1.4661950887998423e+18,@salmaniho والله ما عاد يدرى ياخوك بس شكله بينتهي المطاف لقاح اللي قبل يكفي ويمكن يلزمون علينا الثالثه دراً للمفاسد لا اكثر والعلم عند الله,,neutral,DOH,Doha,Qatar,Gulf
1.0590932496238428e+18,2021-12-01 23:56:44+00:00,,1.466194585395376e+18,"#اكتب_اي_شي_تبيه
وش رايكم باللي ماياخذ لقاح وينزل في توكلنا مكتمل الجرعات https://t.co/45TMc9j4dj",,neutral,DOH,Doha,Qatar,Gulf
1.0590932496238428e+18,2021-12-01 23:50:42+00:00,,1.466193068172976e+18,@abwhd8 @AlBayanNews والله ماجاب للدولة الأمراض الا انتم حسبي الله ونعم الوكيل كيف ماياخذ لقاح وينزل في توكلنا,,negative,DOH,Doha,Qatar,Gulf
1.314287804621435e+18,2021-12-01 23:14:33+00:00,,1.466183968106197e+18,"@MOISaudiArabia سلام عليكم ورحمة الله وبركاته
أخذت جرعة لقاح كورونا خارج المملكة وتم إعتماد الجرعة باللملكة بتاريخ ٦ سبتمبر اي قبل ٨٧ يوم وللحين ما نزلت الجرعة على تطبيق توكلنا وتقدمت بأكثر من ٢٠ بلاغ لوزارة الصحة بدون أي نتيجة",,negative,DOH,Doha,Qatar,Gulf
541215641.0,2021-12-01 23:11:43+00:00,,1.466183256693424e+18,@AlbandriAlazmi كل شوي يقولون يطلعون لنا لقاح .. صرنا حق تجارب 💔,,negative,DOH,Doha,Qatar,Gulf
1.453313494816858e+18,2021-12-01 22:51:08+00:00,,1.466178075327185e+18,@Zigoo0 يعني تطعيم 🤥,,negative,DOH,Doha,Qatar,Gulf
1.3652831837811712e+18,2021-12-01 22:45:37+00:00,,1.4661766882330624e+18,@B_7555 بس الحين قد في لقاحات الامور تحت السيطرة,,neutral,DOH,Doha,Qatar,Gulf
1.1750262022827745e+18,2021-12-01 22:42:18+00:00,,1.4661758553784525e+18,ولله مو مصدقه الناس اللي تدعي ان المتحور الجديد ينتشر وترجع لنا سالفة كورونا من جديد!!! تكفون مو فاضيين يزيد علينا المنهج ، توني قاعده اسوي برزنتيشن عن لقاحات كورونا، تبون بعد ندرس المتحور السنه الجايه الله لا يقوله! هدوا اللعب😠,,negative,DOH,Doha,Qatar,Gulf
1.228373853476397e+18,2021-12-01 23:57:31+00:00,,1.4661947809505157e+18,"@300Mimi96 @yemen_alwadiah اصلا جونسون رسمي من الصحة اليمنية معتمد 
وهناك لجنة تفحص 
لن يدخل الا من كان رسمي من الصحة 
لقاح 
قدوم 
فحص",,neutral,MSA,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic
1.3677907354587136e+18,2021-12-01 23:57:12+00:00,,1.46619470269329e+18,إنهاء إجراءات الإفراج الجمركى عن 1.7 مليون جرعة من لقاح https://t.co/Tb4iBSrd9y,,neutral,MSA,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic
384010834.0,2021-12-01 23:48:07+00:00,,1.4661924164284088e+18,@Mohammed13M1234 @Fatma_pts @HSalim_Writer فى النهاية هذا ما لا بد أن يحدث.. وما سيسرع ذلك هو تطعيم أكبر عدد ممكن من سكان كل بلد..,,neutral,MSA,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic
1.397414395223941e+18,2021-12-01 23:40:41+00:00,,1.4661905454962565e+18,"لقاح Covid يسبب القلب / الموت. دكتور بيتر ماكولوغ ، طبيب واستشاري القلب ،
 ""حاليا ، هناك دراسات تظهر أن جزيئات اللقاح النانوية تدخل القلب مباشرة. https://t.co/2sqndjVgG5",,neutral,MSA,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic
1853532061.0,2021-12-01 23:30:05+00:00,,1.4661878804019814e+18,"لقاح جديد لكوفيد-19 يجتاز أول تجربة بنجاح
التفاصيل على الرابط التالي: https://t.co/IGFCby5OX4 https://t.co/Hpl02eCcEg",,positive,MSA,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic
1.2633398445934223e+18,2021-12-01 23:28:40+00:00,,1.4661875221916344e+18,قصة مكاسب لقاح ”فايزر” المذهلة التي حدثت لأول مرة في التاريخ ..الشركة جنت 36 مليار دولار في عام..! https://t.co/88ywdXcTdo,,positive,MSA,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic
405427247.0,2021-12-01 23:26:19+00:00,,1.4661869309038264e+18,"@FattahDra بارك الله فيك يا دكتور
لكن السؤال :هل يستدعي ذلك أن يكون اللقاح اجباري؟
هل كانت لقاحات الاوبئة السابقة اجبارية؟
هل اللقاحات الحالية تمنع الاصابة؟
تحياتي",,neutral,MSA,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic
7.377263810109112e+17,2021-12-01 23:23:58+00:00,,1.4661863397081457e+18,جنوب أفريقيا توضح مدى قدرة لقاحات “كورونا” على مواجهة أعراض “أوميكرون” https://t.co/Pxp3W0cXyU,,neutral,MSA,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic
1.3656826251558584e+18,2021-12-01 23:19:13+00:00,,1.4661851444070564e+18,@v8_wot @Saad_turkmeni وانت هل اخترعت لقاح كورونا أو أجهزة تبريد للمياه واجهزة التكييف ؟!,,neutral,MSA,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic
1.2846146218155418e+18,2021-12-01 23:17:33+00:00,,1.4661847244062843e+18,"@CNBCArabia وجهة نظر شخصية 

أميكرون .. بحكم المجهول حالياً ! 

لا نقلل من أثرة ولا نبالغ في أثرة ! 

 اتوقع الأسبوع القادم "" أخبار "" حول إيجاد لقاح له …. أو …. تأكيد فاعلية اللقاحات السابقة 🦠  ضد أميكرون . . 

هذا …. والله اعلم .",,neutral,MSA,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic
434897540.0,2021-12-01 23:17:10+00:00,,1.466184628310614e+18,"#جنوب_أفريقيا توضح مدى قدرة لقاحات #كورونا على مواجهة أعراض #أوميكرون
https://t.co/BlwLdpK0eD https://t.co/ITqn7LPaG2",,neutral,MSA,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic
2860544847.0,2021-12-01 23:16:00+00:00,,1.4661843340380365e+18,"الصحة تبدا حملة تطعيمات مكبرة لهذه الفئة العمرية .. بدءًا من هذا الموعد
https://t.co/UfV7uwHXMy https://t.co/Omf9JhonTC",,neutral,MSA,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic
1.3240040082399928e+18,2021-12-01 23:14:32+00:00,,1.4661839657070141e+18,متحدث الصحة يكشف مدى فاعلية لقاح كورونا ضد المتحورات الجديدة https://t.co/jyAYk5OgIt,,neutral,MSA,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic
1.4107992118351872e+18,2021-12-01 23:14:28+00:00,,1.4661839491395502e+18,"العثور على لقاح كورونا وعوده الحياة كما كانت

كورونا https://t.co/VO2Ad3uJze",,positive,MSA,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic
1686683744.0,2021-12-01 23:11:25+00:00,,1.4661831829911142e+18,"منظمة الصحة العالمية: البيانات الأولية تظهر أن معظم إصابات "" #أوميكرون"" بسيطة ولا توجد حالات خطيرة.. ولا توجد حاجة لتطوير لقاحات جديدة ويجب على المصنعين إجراء بعض التعديلات على اللقاحات الحالية",,neutral,MSA,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic
1.3748169521249116e+18,2021-12-01 23:05:31+00:00,,1.4661816985095905e+18,"في الأردن مقاضاة رئيس الوزراء ووزير الصحة ومدير مؤسسة الغذاء والدواء بسبب “إدخال لقاح ملوث مشع ”
#لا_للتطعيم_الاجباري204 #لا_للتطعيم_الاجباري205
https://t.co/1wNiFbmATZ",,negative,MSA,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic
410829887.0,2021-12-01 22:59:00+00:00,,1.4661800556634604e+18,"بيان صادم من الصحة العالمية بشأن تطعيم كورونا بالشرق الأوسط
https://t.co/mjbMwB7q7i",,neutral,MSA,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic
1.2504688679961108e+18,2021-12-01 22:55:01+00:00,,1.4661790546510275e+18,"الصحة العالمية تكشف تفاصيل جديدة بشأن تطوير لقاحات خاصة لمواجهة #أوميكرون 
https://t.co/3PEGNa5mBw",,neutral,MSA,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic
1.1727613332737024e+18,2021-12-01 22:50:47+00:00,,1.4661779901786194e+18,@RassdNewsN قرار منع دخول المؤسسات والهيئات الحكومية .. منعدم .. والحديث عن تلقى لقاح بعد ثلاث سنوات من تعاظم وتفشى الوباء .. قمة السخف .. والشارع العام يعيش حالة من الهرج والمرج الغير مسبوق .,,negative,MSA,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic
1.1727613332737024e+18,2021-12-01 22:49:43+00:00,,1.4661777192769085e+18,قرار المنع .. منعدم .. والحديث عن تلقى لقاح بعد ثلاث سنوات من تعاظم وتفشى الوباء .. قمة السخف .. والشارع العام يعيش حالة من الهرج والمرج الغير مسبوق . https://t.co/LUH7uNZ1mt,,negative,MSA,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic
