,sentiment,city,country,region,Unnamed: 0
0,negative,Riyadh,Saudi Arabia,Gulf,
1,neutral,Riyadh,Saudi Arabia,Gulf,
2,negative,Riyadh,Saudi Arabia,Gulf,
3,neutral,Salt,Jordan,Levant,
4,neutral,Riyadh,Saudi Arabia,Gulf,
5,neutral,Salt,Jordan,Levant,
6,neutral,Jeddha,Saudi Arabia,Gulf,
7,negative,Riyadh,Saudi Arabia,Gulf,
8,neutral,Riyadh,Saudi Arabia,Gulf,
9,neutral,Riyadh,Saudi Arabia,Gulf,
10,negative,Riyadh,Saudi Arabia,Gulf,
11,neutral,Riyadh,Saudi Arabia,Gulf,
12,negative,Riyadh,Saudi Arabia,Gulf,
13,neutral,Riyadh,Saudi Arabia,Gulf,
14,neutral,Riyadh,Saudi Arabia,Gulf,
15,neutral,Riyadh,Saudi Arabia,Gulf,
16,neutral,Riyadh,Saudi Arabia,Gulf,
17,neutral,Riyadh,Saudi Arabia,Gulf,
18,neutral,Riyadh,Saudi Arabia,Gulf,
19,negative,Riyadh,Saudi Arabia,Gulf,
20,neutral,Riyadh,Saudi Arabia,Gulf,
21,neutral,Riyadh,Saudi Arabia,Gulf,
22,neutral,Riyadh,Saudi Arabia,Gulf,
23,neutral,Jeddha,Saudi Arabia,Levant,
24,neutral,Riyadh,Saudi Arabia,Gulf,
25,neutral,Riyadh,Saudi Arabia,Gulf,
26,negative,Riyadh,Saudi Arabia,Gulf,
27,neutral,Riyadh,Saudi Arabia,Gulf,
28,negative,Riyadh,Saudi Arabia,Gulf,
29,positive,Riyadh,Saudi Arabia,Gulf,
30,positive,Riyadh,Saudi Arabia,Gulf,
31,neutral,Jeddha,Saudi Arabia,Gulf,
32,positive,Riyadh,Saudi Arabia,Gulf,
33,neutral,Rabat,Morocco,Maghreb,
34,neutral,Aleppo,Syria,Levant,
35,neutral,Riyadh,Saudi Arabia,Gulf,
36,neutral,Riyadh,Saudi Arabia,Gulf,
37,neutral,Jeddha,Saudi Arabia,Gulf,
38,neutral,Riyadh,Saudi Arabia,Gulf,
39,negative,Riyadh,Saudi Arabia,Gulf,
40,neutral,Riyadh,Saudi Arabia,Gulf,
41,neutral,Riyadh,Saudi Arabia,Gulf,
42,neutral,Riyadh,Saudi Arabia,Gulf,
43,neutral,Riyadh,Saudi Arabia,Gulf,
44,neutral,Jeddha,Saudi Arabia,Gulf,
45,negative,Riyadh,Saudi Arabia,Gulf,
46,neutral,Riyadh,Saudi Arabia,Gulf,
47,neutral,Jeddha,Saudi Arabia,Gulf,
48,negative,Riyadh,Saudi Arabia,Gulf,
49,negative,Riyadh,Saudi Arabia,Gulf,
50,neutral,Riyadh,Saudi Arabia,Gulf,
51,neutral,Jeddha,Saudi Arabia,Gulf,
52,neutral,Riyadh,Saudi Arabia,Gulf,
53,negative,Jeddha,Saudi Arabia,Gulf,
54,neutral,Amman,Syria,Levant,
55,positive,Riyadh,Saudi Arabia,Gulf,
56,neutral,Riyadh,Saudi Arabia,Gulf,
57,neutral,Riyadh,Saudi Arabia,Gulf,
58,negative,Riyadh,Saudi Arabia,Gulf,
59,negative,Jeddha,Saudi Arabia,Gulf,
60,negative,Khartoum,Sudan,Nile Basin,
61,neutral,Riyadh,Saudi Arabia,Gulf,
62,negative,Jeddha,Saudi Arabia,Gulf,
63,negative,Riyadh,Saudi Arabia,Gulf,
64,negative,Riyadh,Saudi Arabia,Gulf,
65,neutral,Salt,Saudi Arabia,Gulf,
66,neutral,Riyadh,Saudi Arabia,Gulf,
67,neutral,Salt,Jordan,Levant,
68,neutral,Riyadh,Saudi Arabia,Gulf,
